tag,area,unit,role,nominal,mean,min,max,completeness_pct,nominal_pct
:AMMONIA_FLOW,:granulation,:t_ph,:ammonia_flow,42.0,43.3801,0.0,56.3211,99.7146,103.2861
:ATTACK_TEMP,:attack,:deg_c,:reactor_temperature,78.5,77.5641,55.0,97.4,99.8174,98.8078
:CONC_P2O5,:flotation,:wt_pct,:concentrate_grade,31.2,31.9827,27.504,34.6519,99.6347,102.5087
:CONVERTER_TEMP,:acid_plant,:deg_c,:converter_temperature,420.0,420.1358,384.8,425.4756,99.8516,100.0323
:COOLER_OUTLET_TEMP,:granulation,:deg_c,:cooler_temperature,45.0,44.7876,33.56,47.3485,99.7717,99.528
:COOLING_RETURN_T,:utilities,:deg_c,:cooling_return_temperature,38.5,38.2728,31.02,41.2772,99.9543,99.4099
:COOLING_SUPPLY_T,:utilities,:deg_c,:cooling_supply_temperature,29.2,29.0668,22.864,30.6153,100.0,99.5437
:CRUSHER_POWER,:beneficiation,:kw,:crusher_load,640.0,1188.9464,411.2,1421.87,99.8174,185.7729
:CYCLONE_P80,:beneficiation,:um,:grind_p80,148.0,149.4776,96.96,204.1297,99.6233,100.9984
:CYCLONE_PRESSURE,:beneficiation,:bar,:cyclone_pressure,1.15,1.3585,0.93,1.9384,99.8973,118.1305
:DRYER_FUEL_FLOW,:granulation,:gj,:dryer_fuel_flow,112.0,82.0246,0.0,110.4821,99.8858,73.2362
:DRYER_OUTLET_TEMP,:granulation,:deg_c,:dryer_temperature,82.0,81.6785,67.04,85.5478,99.9543,99.608
:EFFLUENT_PH,:tailings,:count,:effluent_ph,7.4,7.3734,6.168,7.5651,99.8174,99.6402
:EVAP_DENSITY,:evaporation,:count,:evaporator_density,1.52,1.5174,1.3704,2.0509,99.4863,99.8258
:EVAP_FEED_FLOW,:evaporation,:m3_ph,:evaporator_feed_flow,320.0,327.4542,0.0,451.9589,99.726,102.3294
:EVAP_TEMP,:evaporation,:deg_c,:evaporator_temperature,92.0,84.9865,81.44,87.3038,100.0,92.3766
:EVAP_VACUUM,:evaporation,:mmwc,:evaporator_vacuum,480.0,476.7202,321.6,498.866,99.7032,99.3167
:FILTER_RATE,:filtration,:t_per_m2_d,:filtration_rate,5.4,8.3368,3.288,9.5,100.0,154.3845
:FILTER_VACUUM,:filtration,:mmwc,:filter_vacuum,250.0,246.5761,162.0,260.6219,99.8858,98.6304
:FINES_PCT,:granulation,:pct,:fines_pct,22.0,27.6817,0.0,29.2825,99.9658,125.8257
:FLOT_FEED_P2O5,:flotation,:wt_pct,:feed_grade,24.5,25.1301,18.78,26.8538,100.0,102.5719
:FREE_SO4,:attack,:wt_pct,:sulfate_ratio,2.6,2.6814,0.752,3.5533,99.8516,103.1309
:FROTH_BUBBLE_PX,:flotation,:um,:froth_bubble,42.0,35.2723,12.08,45.0987,99.726,83.9817
:FROTH_IMAGE_INDEX,:flotation,:count,:froth_image,0.55,0.5651,0.066,1.1408,99.7489,102.7427
:FROTH_PH,:flotation,:count,:froth_ph,9.4,9.3853,8.696,10.2673,99.589,99.8434
:F_WASH_WATER,:filtration,:ppm,:free_acid_wash,1.2,1.2448,0.144,2.0238,99.5434,103.734
:GRANULATOR_TORQUE,:granulation,:count,:granulator_torque,62.0,87.8171,42.64,91.3783,99.9315,141.6404
