hour,kind,temperature_value,free_so4_value,acid_strength_weak_value,acid_strength_value,product_rate_value,filter_rate_value,mill_power_value,p80_value,bed_moisture_value,granulator_temperature_value,mill_inventory_value,fouling_pct_value,acid_flow_percent,ammonia_flow_percent,cooling_water_percent,mill_feed_percent,steam_flow_percent,wash_water_percent
0.0,:mpc,78.0,2.6029,8.696,52.0,127.88,5.8114,2970.4581,150.0,0.063,96.0,176.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
1.0,:mpc,94.2372,-3.1942,9.32,56.9077,130.209,5.9172,0.0,142.6999,0.1054,85.7477,28.5684,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2.0,:mpc,95.6529,-8.2945,9.717,60.026,130.2121,5.9174,0.0,141.3211,0.1834,82.6517,4.6372,0.6,0.0,0.0,0.0,0.0,0.0,0.0
3.0,:mpc,95.8056,-12.9311,10.0551,62.0079,130.2124,5.9174,0.0,141.0606,0.2591,81.7877,0.7527,0.6,0.0,0.0,0.0,0.0,0.0,0.0
4.0,:mpc,95.8221,-17.0419,10.3398,63.2682,130.2124,5.9174,0.0,141.0115,0.3207,81.6184,0.1222,0.6,0.0,0.0,0.0,0.0,0.0,0.0
5.0,:mpc,95.8239,-20.6058,10.5772,64.07,130.2124,5.9174,0.0,141.0022,0.3667,81.6522,0.0198,0.6,0.0,0.0,0.0,0.0,0.0,0.0
6.0,:mpc,95.824,-23.6358,10.7735,64.5806,130.2124,5.9174,0.0,141.0004,0.3995,81.731,0.0032,0.6,0.0,0.0,0.0,0.0,0.0,0.0
7.0,:mpc,95.8241,-26.1692,10.9349,64.9059,130.2124,5.9174,0.0,141.0001,0.4222,81.8061,0.0005,0.6,0.0,0.0,0.0,0.0,0.0,0.0
8.0,:mpc,95.8241,-28.258,11.0667,65.1135,130.2124,5.9174,0.0,141.0,0.4376,81.8654,0.0001,0.6,0.0,0.0,0.0,0.0,0.0,0.0
9.0,:mpc,95.8241,-29.9603,11.174,65.2461,130.2124,5.9174,0.0,141.0,0.4479,81.9087,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
10.0,:mpc,95.8241,-31.3344,11.261,65.331,130.2124,5.9174,0.0,141.0,0.4547,81.939,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
11.0,:mpc,95.8241,-32.4352,11.3313,65.3854,130.2124,5.9174,0.0,141.0,0.4592,81.9596,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
12.0,:mpc,95.8241,-33.3116,11.3881,65.4204,130.2124,5.9174,0.0,141.0,0.4621,81.9735,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
13.0,:mpc,95.8241,-34.0059,11.4337,65.443,130.2124,5.9174,0.0,141.0,0.464,81.9827,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
14.0,:mpc,95.8241,-34.5539,11.4705,65.4576,130.2124,5.9174,0.0,141.0,0.4652,81.9887,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
15.0,:mpc,95.8241,-34.9851,11.5,65.4672,130.2124,5.9174,0.0,141.0,0.466,81.9926,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
16.0,:mpc,95.8241,-35.3237,11.5236,65.4734,130.2124,5.9174,0.0,141.0,0.4666,81.9952,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
17.0,:mpc,95.8241,-35.589,11.5426,65.4775,130.2124,5.9174,0.0,141.0,0.4669,81.9969,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
