sensor,target,kind,unit,r2,rmse,bias,rows,in_domain_pct,status
:pump_PUMP_VIBRATION,:PUMP_VIBRATION,:acoustic,:count,0.9896,0.0739,-0.0097,120.0,,:healthy
:mill_MILL_POWER,:MILL_POWER,:acoustic,:kw,0.9423,83.7837,-23.5185,120.0,,:healthy
:process_MILL_POWER,:MILL_POWER,:process,:kw,0.9368,106.9652,3.4488,8542.0,100.0,:healthy
:process_STEAM_FLOW,:STEAM_FLOW,:process,:t_ph,0.9312,1.6977,-0.0218,8528.0,100.0,:healthy
:process_CONC_P2O5,:CONC_P2O5,:process,:wt_pct,0.9101,0.3097,0.0084,8467.0,100.0,:healthy
:froth_CONC_P2O5,:CONC_P2O5,:visual,:wt_pct,0.8929,0.3569,-0.0189,160.0,,:healthy
:process_WEAK_ACID_P2O5,:WEAK_ACID_P2O5,:process,:wt_pct,0.6948,0.1751,0.0023,8494.0,100.0,:healthy
:process_STRONG_ACID_P2O5,:STRONG_ACID_P2O5,:process,:wt_pct,0.4525,0.1983,0.0007,8531.0,100.0,:healthy
:rock_CYCLONE_P80,:CYCLONE_P80,:visual,:um,0.3994,3.044,0.5433,159.0,,:degraded
:process_PRODUCT_N,:PRODUCT_N,:process,:wt_pct,0.3317,0.2647,0.0021,8500.0,100.0,:healthy
:process_GYPSUM_FREE_P2O5,:GYPSUM_FREE_P2O5,:process,:wt_pct,0.2188,0.0181,0.0001,8447.0,100.0,:healthy
:process_FILTER_RATE,:FILTER_RATE,:process,:t_per_m2_d,0.2148,1.165,0.0177,8482.0,100.0,:healthy
:process_CYCLONE_P80,:CYCLONE_P80,:process,:um,0.0312,6.1781,-0.1283,8486.0,100.0,:healthy
:process_ATTACK_TEMP,:ATTACK_TEMP,:process,:deg_c,-0.0,16.3148,0.2679,8498.0,100.0,:healthy
